"date","cases","btc_transactions"
"443",2021-04-13,781531,310213
"444",2021-04-14,816475,297494
"445",2021-04-15,817114,359440
"446",2021-04-16,858177,219704
"447",2021-04-17,788011,194580
"448",2021-04-18,687012,274735
"449",2021-04-19,693061,208413
"450",2021-04-20,854255,279977
"451",2021-04-21,891586,226021
"452",2021-04-22,899728,274610
"453",2021-04-23,904254,295731
"454",2021-04-24,822529,290690
"455",2021-04-25,725127,241041
"456",2021-04-26,681685,240687
"457",2021-04-27,845362,298109
"458",2021-04-28,908289,277126
"459",2021-04-29,897062,259465
"460",2021-04-30,880510,289389
"461",2021-05-01,798733,262991
"462",2021-05-02,675619,235214
"463",2021-05-03,679506,287007
"464",2021-05-04,808227,300824
"465",2021-05-05,842846,309774
"466",2021-05-06,870467,311380
"467",2021-05-07,833478,307988
"468",2021-05-08,787230,274691
"469",2021-05-09,642533,247866
"470",2021-05-10,619070,303297
"471",2021-05-11,739447,312115
"472",2021-05-12,760634,300452
"473",2021-05-13,725841,276472
"474",2021-05-14,718049,266055
"475",2021-05-15,629320,232099
"476",2021-05-16,549557,219435
"477",2021-05-17,538884,250910
"478",2021-05-18,623047,221018
"479",2021-05-19,672421,263419
"480",2021-05-20,279804,228039
"481",2021-05-21,626631,226351
"482",2021-05-22,579404,223800
"483",2021-05-23,477277,194320
"484",2021-05-24,452490,234755
"485",2021-05-25,532855,233644
"486",2021-05-26,569680,230753
"487",2021-05-27,554329,214035
"488",2021-05-28,500600,218311
"489",2021-05-29,482325,198332
"490",2021-05-30,391852,179795
"491",2021-05-31,378836,226469
"492",2021-06-01,463035,234561
"493",2021-06-02,486232,250589
"494",2021-06-03,489432,255621
"495",2021-06-04,419736,236672
"496",2021-06-05,399272,194580
"497",2021-06-06,323297,185305
"498",2021-06-07,320591,235479
"499",2021-06-08,367227,246906
"500",2021-06-09,419941,210911
"501",2021-06-10,449711,252983
"502",2021-06-11,420997,216502
"503",2021-06-12,372856,222774
"504",2021-06-13,303676,187098
"505",2021-06-14,307380,242416
"506",2021-06-15,371354,241861
"507",2021-06-16,398713,252937
"508",2021-06-17,392547,237725
"509",2021-06-18,406888,222918
"510",2021-06-19,349501,187042
"511",2021-06-20,302396,167249
"512",2021-06-21,293682,205050
"513",2021-06-22,371828,196523
"514",2021-06-23,437801,232704
"515",2021-06-24,404925,233278
"516",2021-06-25,421946,218245
"517",2021-06-26,366037,181628
"518",2021-06-27,311489,121538
"519",2021-06-28,328344,221000
"520",2021-06-29,379660,205616
"521",2021-06-30,397001,215304
"522",2021-07-01,440986,233683
"523",2021-07-02,441272,188568
"524",2021-07-03,376701,237463
"525",2021-07-04,328519,171850
"526",2021-07-05,369569,223760
"527",2021-07-06,453439,228279
"528",2021-07-07,463455,221227
"529",2021-07-08,480356,230719
"530",2021-07-09,507522,227511
"531",2021-07-10,427057,187263
"532",2021-07-11,370527,166144
"533",2021-07-12,436692,220269
"534",2021-07-13,519989,229916
"535",2021-07-14,541470,236217
"536",2021-07-15,572129,226234
"537",2021-07-16,598287,223466
"538",2021-07-17,473990,182047
"539",2021-07-18,431019,161122
"540",2021-07-19,496529,226803
"541",2021-07-20,529948,230509
"542",2021-07-21,558817,235680
"543",2021-07-22,564399,230282
"544",2021-07-23,729107,231130
"545",2021-07-24,432933,198091
"546",2021-07-25,445293,174535
"547",2021-07-26,540371,261950
"548",2021-07-27,610234,255221
"549",2021-07-28,644301,251223
"550",2021-07-29,652869,262612
"551",2021-07-30,730300,255417
"552",2021-07-31,510168,207348
"553",2021-08-01,481299,185157
"554",2021-08-02,578074,239277
"555",2021-08-03,637411,246198
"556",2021-08-04,675404,239596
"557",2021-08-05,688926,246175
"558",2021-08-06,821816,260810
"559",2021-08-07,550928,212229
"560",2021-08-08,441585,191623
"561",2021-08-09,653833,252660
"562",2021-08-10,648649,260968
"563",2021-08-11,728525,262437
"564",2021-08-12,710787,250961
"565",2021-08-13,805711,260624
"566",2021-08-14,533942,209074
"567",2021-08-15,464012,186239
"568",2021-08-16,678610,263529
"569",2021-08-17,683063,257766
"570",2021-08-18,728219,247333
"571",2021-08-19,715654,253447
"572",2021-08-20,790118,271837
"573",2021-08-21,540191,219407
"574",2021-08-22,446492,190631
"575",2021-08-23,704466,270736
"576",2021-08-24,686926,263984
"577",2021-08-25,730326,263009
"578",2021-08-26,735690,258590
"579",2021-08-27,745703,256813
"580",2021-08-28,547384,218268
"581",2021-08-29,446573,191650
"582",2021-08-30,686532,250955
"583",2021-08-31,619188,271163
"584",2021-09-01,727341,280865
"585",2021-09-02,677015,289900
"586",2021-09-03,718119,283991
"587",2021-09-04,484717,227732
"588",2021-09-05,440067,205066
"589",2021-09-06,440507,268877
"590",2021-09-07,725520,276624
"591",2021-09-08,631697,270483
"592",2021-09-09,637634,274384
"593",2021-09-10,634006,261371
"594",2021-09-11,456568,218445
"595",2021-09-12,368246,192691
"596",2021-09-13,601292,255970
"597",2021-09-14,551380,268127
