"date","cases","eth_transactions"
"646",2021-11-02,429489,1395656
"647",2021-11-03,521220,1417221
"648",2021-11-04,527779,1352186
"649",2021-11-05,515353,1339661
"650",2021-11-06,414433,1255921
"651",2021-11-07,347177,1276998
"652",2021-11-08,478487,1329018
"653",2021-11-09,483094,1334145
"654",2021-11-10,574383,1390746
"655",2021-11-11,516093,1347643
"656",2021-11-12,594674,1345131
"657",2021-11-13,428671,1300464
"658",2021-11-14,351443,1275744
"659",2021-11-15,545061,1289636
"660",2021-11-16,521883,1310153
"661",2021-11-17,624866,1353219
"662",2021-11-18,613128,1284250
"663",2021-11-19,615901,1255788
"664",2021-11-20,476669,1160128
"665",2021-11-21,396133,1260939
"666",2021-11-22,624637,1221508
"667",2021-11-23,606489,1264994
"668",2021-11-24,672616,1342491
"669",2021-11-25,595842,1301578
"670",2021-11-26,596892,1297524
"671",2021-11-27,450507,1213284
"672",2021-11-28,405768,1135653
